id,difficulty,solved_by,DeepSeek-V4-flash (reasoning),DeepSeek-V4-flash,DeepSeek-V4-pro (reasoning),DeepSeek-V4-pro,Gemini-3.1-Pro (reasoning),gpt-5.5 (reasoning),gpt-5.5,Kimi K2.6 (reasoning),Kimi K2.6,Qwen-2.5-72B,Qwen-3.5-397B (reasoning),Qwen-3.5-397B,Qwen-3.5-9B (reasoning),Qwen-3.5-9B,Qwen-3.6-27B (reasoning),Qwen-3.6-27B
air_132,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_133,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_143,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_165,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_170,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_174,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_177,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_187,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_197,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_203,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_206,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_213,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_224,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_236,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_255,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_269,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_299,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_300,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_306,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_310,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_322,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_326,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_345,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_351,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_355,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_362,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_368,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_371,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_382,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_392,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_0,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_7,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_3,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_20,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_23,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_38,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_40,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_51,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_52,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_54,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_55,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_56,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_57,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_61,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_63,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_70,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_71,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_72,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_85,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_95,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_96,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_109,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_123,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snp_68,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snp_5,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snp_12,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacob_2.1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
holton_1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
holton_27,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
holton_34,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.4,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_332,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_376,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_39,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_222,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p_50,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_329,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_226,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ry_6.1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_4.4,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_10.28,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_10.36,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fp_12.1,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fp_13.2,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_8.30,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ca_10.7,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_8.4,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_2.14,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_2.17,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_18.6,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_2.22,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_238,medium,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_68,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_137,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_231,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_385,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.2,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snp_72,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
holton_40,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.9,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dn_13.4,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_2.6,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jacobson_4.8,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_126,high,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_305,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_349,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_37,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_106,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_114,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
turner_3,low,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_33,low,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
air_0,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_3,medium,15,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1.2,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11.1,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6.1.4,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
air_63,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_64,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_89,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_105,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_125,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_138,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_145,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_159,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_172,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_198,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
air_215,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
air_227,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_229,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_234,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_243,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_250,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_252,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_256,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_261,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_263,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_282,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_284,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
air_285,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_304,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
air_308,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_315,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_320,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_321,medium,15,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
air_323,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_328,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_334,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_347,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_361,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_363,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_395,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_405,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_408,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
p_26,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_35,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_64,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_102,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_104,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_108,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_115,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_124,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
snp_7,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
snp_50,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
snp_8,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_13,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_28,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_51,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_58,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_242,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_33,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ry_1.6,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ry_6.4,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_4.15,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_6.33,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_9.27,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_12.1,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
fp_2.4,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
fp_12.2,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ca_5.1,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_2.5,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_2.1,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_3.5,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_3.6(a),medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_4.1,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_3.6(c),medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_5.2,medium,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_2,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
8.1,medium,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
air_90,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_290,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.3,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.4,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5.10,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_83,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
snp_67,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacob_13.4,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_7,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_30,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_36,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
holton_52,high,15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2.2,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.8,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
snp_30,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
p_79,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_344,high,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ry_1.3,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ry_3.5,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_11.10,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_14.12,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
dn_15.18,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ca_10.5,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ry_5.1,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_2.7,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_2.13,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_2.19,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_38,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacob_13.1,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
jacobson_4.7,high,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_99,low,14,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1.1,medium,14,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
air_104,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_106,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_108,medium,14,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
air_124,medium,14,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
air_178,medium,14,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_212,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_296,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_314,medium,14,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_318,medium,14,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
air_379,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_380,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_4,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_6,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_16,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_21,medium,14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
p_25,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_73,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_101,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_103,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
snp_19,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
snp_4,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
snp_15,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
jacob_12.1,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_9,medium,14,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
air_202,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
dn_8.16,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
dn_8.32,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
holton_53,medium,14,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2.15,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
snp_99,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
snp_9,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
jacob_4.7,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
holton_19,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
holton_38,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
holton_76,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
4.9,high,14,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
8.7,high,14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
ry_12.2,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
fp_5.1,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
fp_11.2,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
jacobson_13.2,high,14,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
dn_14.10,high,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
snp_64,high,14,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
jacob_8.2,high,14,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
turner_1,low,13,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
air_59,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_148,medium,13,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
air_214,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
air_246,medium,13,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
air_264,medium,13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
air_292,medium,13,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
air_360,medium,13,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
p_5,medium,13,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
p_10,medium,13,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
2.14,medium,13,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
5.7,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
p_93,medium,13,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
p_107,medium,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
p_110,medium,13,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
turner_2,medium,13,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
snp_37,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
holton_10,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
