parent,leaked,model,state
holton_58,no,DeepSeek-V4-flash (reasoning),both
snp_50,yes,DeepSeek-V4-flash (reasoning),both
holton_34,no,DeepSeek-V4-flash (reasoning),both
snp_7,no,DeepSeek-V4-flash (reasoning),both
holton_5,no,DeepSeek-V4-flash (reasoning),both
snp_67,no,DeepSeek-V4-flash (reasoning),both
snp_4,no,DeepSeek-V4-flash (reasoning),both
jacob_2.1,no,DeepSeek-V4-flash (reasoning),both
holton_38,no,DeepSeek-V4-flash (reasoning),both
snp_15,no,DeepSeek-V4-flash (reasoning),both
holton_27,no,DeepSeek-V4-flash (reasoning),both
holton_60,no,DeepSeek-V4-flash (reasoning),both
holton_62,no,DeepSeek-V4-flash (reasoning),neither
holton_16,no,DeepSeek-V4-flash (reasoning),both
snp_72,no,DeepSeek-V4-flash (reasoning),both
snp_56,no,DeepSeek-V4-flash (reasoning),both
holton_30,no,DeepSeek-V4-flash (reasoning),both
snp_5,no,DeepSeek-V4-flash (reasoning),both
snp_99,no,DeepSeek-V4-flash (reasoning),both
snp_85,no,DeepSeek-V4-flash (reasoning),both
snp_43,no,DeepSeek-V4-flash (reasoning),both
snp_68,no,DeepSeek-V4-flash (reasoning),both
holton_1,no,DeepSeek-V4-flash (reasoning),both
snp_49,no,DeepSeek-V4-flash (reasoning),both
snp_8,no,DeepSeek-V4-flash (reasoning),both
holton_11,no,DeepSeek-V4-flash (reasoning),neither
holton_19,no,DeepSeek-V4-flash (reasoning),both
holton_33,yes,DeepSeek-V4-flash (reasoning),both
holton_51,no,DeepSeek-V4-flash (reasoning),both
jacob_13.4,no,DeepSeek-V4-flash (reasoning),both
snp_22,no,DeepSeek-V4-flash (reasoning),both
4.4,no,DeepSeek-V4-flash (reasoning),both
2.2,no,DeepSeek-V4-flash (reasoning),both
4.8,no,DeepSeek-V4-flash (reasoning),both
3.11,no,DeepSeek-V4-flash (reasoning),both
5.11,no,DeepSeek-V4-flash (reasoning),both
4.9,no,DeepSeek-V4-flash (reasoning),both
8.7,no,DeepSeek-V4-flash (reasoning),both
3.8,no,DeepSeek-V4-flash (reasoning),both
5.9,no,DeepSeek-V4-flash (reasoning),both
air_116,no,DeepSeek-V4-flash (reasoning),both
air_234,no,DeepSeek-V4-flash (reasoning),both
jacob_12.1,no,DeepSeek-V4-flash (reasoning),both
snp_94,no,DeepSeek-V4-flash (reasoning),gained
snp_30,no,DeepSeek-V4-flash (reasoning),both
ry_1.3,no,DeepSeek-V4-flash (reasoning),both
ry_1.6,no,DeepSeek-V4-flash (reasoning),both
ry_3.5,no,DeepSeek-V4-flash (reasoning),both
ry_12.5,no,DeepSeek-V4-flash (reasoning),both
ry_13.7,no,DeepSeek-V4-flash (reasoning),both
dn_12.1,no,DeepSeek-V4-flash (reasoning),both
dn_6.27,no,DeepSeek-V4-flash (reasoning),both
dn_9.27,no,DeepSeek-V4-flash (reasoning),both
dn_4.15,no,DeepSeek-V4-flash (reasoning),both
dn_10.44,no,DeepSeek-V4-flash (reasoning),both
fp_2.4,no,DeepSeek-V4-flash (reasoning),both
fp_2.1,no,DeepSeek-V4-flash (reasoning),both
fp_12.2,no,DeepSeek-V4-flash (reasoning),both
fp_12.1,no,DeepSeek-V4-flash (reasoning),both
fp_2.5,no,DeepSeek-V4-flash (reasoning),both
ca_3.9,no,DeepSeek-V4-flash (reasoning),neither
ca_10.5,no,DeepSeek-V4-flash (reasoning),both
ca_15.7,no,DeepSeek-V4-flash (reasoning),both
air_121,no,DeepSeek-V4-flash (reasoning),both
air_226,no,DeepSeek-V4-flash (reasoning),both
dn_6.31,no,DeepSeek-V4-flash (reasoning),neither
dn_8.4,no,DeepSeek-V4-flash (reasoning),both
jacobson_2.1,no,DeepSeek-V4-flash (reasoning),both
jacobson_2.13,no,DeepSeek-V4-flash (reasoning),both
jacobson_2.6,no,DeepSeek-V4-flash (reasoning),both
jacobson_3.5,no,DeepSeek-V4-flash (reasoning),both
jacobson_4.1,no,DeepSeek-V4-flash (reasoning),both
jacobson_4.5,no,DeepSeek-V4-flash (reasoning),both
jacobson_3.6(a),no,DeepSeek-V4-flash (reasoning),both
jacobson_2.16,no,DeepSeek-V4-flash (reasoning),both
jacobson_2.7,no,DeepSeek-V4-flash (reasoning),both
jacobson_3.6(c),no,DeepSeek-V4-flash (reasoning),both
jacobson_2.17,no,DeepSeek-V4-flash (reasoning),both
jacobson_4.8,no,DeepSeek-V4-flash (reasoning),both
jacobson_2.5,no,DeepSeek-V4-flash (reasoning),both
jacobson_18.6,no,DeepSeek-V4-flash (reasoning),both
jacobson_13.2,no,DeepSeek-V4-flash (reasoning),both
jacobson_38,no,DeepSeek-V4-flash (reasoning),both
jacobson_18.1,no,DeepSeek-V4-flash (reasoning),both
jacobson_18.8(a),no,DeepSeek-V4-flash (reasoning),both
jacobson_2.19,no,DeepSeek-V4-flash (reasoning),both
air_102,no,DeepSeek-V4-flash (reasoning),both
air_107,no,DeepSeek-V4-flash (reasoning),both
air_0,no,DeepSeek-V4-flash (reasoning),both
1.2,no,DeepSeek-V4-flash (reasoning),both
air_110,no,DeepSeek-V4-flash (reasoning),both
air_111,no,DeepSeek-V4-flash (reasoning),both
air_120,no,DeepSeek-V4-flash (reasoning),both
1.1,no,DeepSeek-V4-flash (reasoning),both
air_125,no,DeepSeek-V4-flash (reasoning),both
air_132,no,DeepSeek-V4-flash (reasoning),both
10.3,no,DeepSeek-V4-flash (reasoning),both
air_133,no,DeepSeek-V4-flash (reasoning),both
air_147,no,DeepSeek-V4-flash (reasoning),both
air_170,no,DeepSeek-V4-flash (reasoning),both
air_177,no,DeepSeek-V4-flash (reasoning),both
air_183,no,DeepSeek-V4-flash (reasoning),both
air_187,no,DeepSeek-V4-flash (reasoning),both
air_197,no,DeepSeek-V4-flash (reasoning),both
air_215,no,DeepSeek-V4-flash (reasoning),both
air_224,no,DeepSeek-V4-flash (reasoning),both
air_227,no,DeepSeek-V4-flash (reasoning),both
air_259,no,DeepSeek-V4-flash (reasoning),both
air_255,no,DeepSeek-V4-flash (reasoning),both
air_220,no,DeepSeek-V4-flash (reasoning),both
air_261,no,DeepSeek-V4-flash (reasoning),both
air_290,no,DeepSeek-V4-flash (reasoning),both
air_299,yes,DeepSeek-V4-flash (reasoning),both
air_263,no,DeepSeek-V4-flash (reasoning),both
air_3,no,DeepSeek-V4-flash (reasoning),both
air_308,no,DeepSeek-V4-flash (reasoning),both
air_310,no,DeepSeek-V4-flash (reasoning),both
air_264,no,DeepSeek-V4-flash (reasoning),both
air_304,yes,DeepSeek-V4-flash (reasoning),both
air_330,no,DeepSeek-V4-flash (reasoning),both
air_339,no,DeepSeek-V4-flash (reasoning),both
air_338,no,DeepSeek-V4-flash (reasoning),both
air_347,no,DeepSeek-V4-flash (reasoning),both
air_349,no,DeepSeek-V4-flash (reasoning),both
air_345,no,DeepSeek-V4-flash (reasoning),both
air_362,no,DeepSeek-V4-flash (reasoning),both
air_379,no,DeepSeek-V4-flash (reasoning),both
air_380,yes,DeepSeek-V4-flash (reasoning),both
air_385,yes,DeepSeek-V4-flash (reasoning),both
air_395,no,DeepSeek-V4-flash (reasoning),both
air_59,no,DeepSeek-V4-flash (reasoning),both
air_360,no,DeepSeek-V4-flash (reasoning),both
air_64,no,DeepSeek-V4-flash (reasoning),both
air_68,no,DeepSeek-V4-flash (reasoning),both
air_99,no,DeepSeek-V4-flash (reasoning),both
dn_10.28,no,DeepSeek-V4-flash (reasoning),both
air_90,no,DeepSeek-V4-flash (reasoning),both
holton_40,no,DeepSeek-V4-flash (reasoning),both
air_392,no,DeepSeek-V4-flash (reasoning),both
holton_36,no,DeepSeek-V4-flash (reasoning),both
holton_76,no,DeepSeek-V4-flash (reasoning),both
holton_7,no,DeepSeek-V4-flash (reasoning),both
jacob_13.2,no,DeepSeek-V4-flash (reasoning),gained
holton_56,no,DeepSeek-V4-flash (reasoning),fragile
p_101,yes,DeepSeek-V4-flash (reasoning),both
ca_10.7,no,DeepSeek-V4-flash (reasoning),both
p_103,no,DeepSeek-V4-flash (reasoning),both
p_106,no,DeepSeek-V4-flash (reasoning),both
p_113,no,DeepSeek-V4-flash (reasoning),both
p_110,no,DeepSeek-V4-flash (reasoning),both
p_114,no,DeepSeek-V4-flash (reasoning),both
p_115,no,DeepSeek-V4-flash (reasoning),both
p_22,no,DeepSeek-V4-flash (reasoning),both
p_12,no,DeepSeek-V4-flash (reasoning),both
p_20,no,DeepSeek-V4-flash (reasoning),both
p_25,no,DeepSeek-V4-flash (reasoning),both
p_26,no,DeepSeek-V4-flash (reasoning),both
p_3,no,DeepSeek-V4-flash (reasoning),both
p_21,no,DeepSeek-V4-flash (reasoning),both
p_41,no,DeepSeek-V4-flash (reasoning),both
p_37,no,DeepSeek-V4-flash (reasoning),both
jacob_4.7,no,DeepSeek-V4-flash (reasoning),both
p_4,no,DeepSeek-V4-flash (reasoning),both
p_57,no,DeepSeek-V4-flash (reasoning),both
p_55,no,DeepSeek-V4-flash (reasoning),both
p_5,no,DeepSeek-V4-flash (reasoning),both
p_56,no,DeepSeek-V4-flash (reasoning),both
p_7,no,DeepSeek-V4-flash (reasoning),both
p_96,no,DeepSeek-V4-flash (reasoning),both
p_70,no,DeepSeek-V4-flash (reasoning),both
p_6,no,DeepSeek-V4-flash (reasoning),both
turner_1,no,DeepSeek-V4-flash (reasoning),both
snp_9,no,DeepSeek-V4-flash (reasoning),both
turner_2,no,DeepSeek-V4-flash (reasoning),both
p_73,no,DeepSeek-V4-flash (reasoning),both
p_102,no,DeepSeek-V4-flash (reasoning),both
air_89,yes,DeepSeek-V4-flash (reasoning),both
2.14,no,DeepSeek-V4-flash (reasoning),both
holton_2,no,DeepSeek-V4-flash (reasoning),both
holton_53,no,DeepSeek-V4-flash (reasoning),both
air_148,no,DeepSeek-V4-flash (reasoning),both
air_137,no,DeepSeek-V4-flash (reasoning),both
air_143,no,DeepSeek-V4-flash (reasoning),both
air_165,no,DeepSeek-V4-flash (reasoning),both
air_229,no,DeepSeek-V4-flash (reasoning),both
air_206,no,DeepSeek-V4-flash (reasoning),both
air_231,yes,DeepSeek-V4-flash (reasoning),both
air_306,no,DeepSeek-V4-flash (reasoning),both
air_105,no,DeepSeek-V4-flash (reasoning),both
air_322,no,DeepSeek-V4-flash (reasoning),both
air_351,no,DeepSeek-V4-flash (reasoning),both
air_334,no,DeepSeek-V4-flash (reasoning),both
air_342,no,DeepSeek-V4-flash (reasoning),both
air_408,no,DeepSeek-V4-flash (reasoning),both
dn_13.4,no,DeepSeek-V4-flash (reasoning),both
dn_15.18,no,DeepSeek-V4-flash (reasoning),both
air_361,no,DeepSeek-V4-flash (reasoning),both
air_269,no,DeepSeek-V4-flash (reasoning),both
fp_11.2,no,DeepSeek-V4-flash (reasoning),both
holton_10,no,DeepSeek-V4-flash (reasoning),both
holton_13,no,DeepSeek-V4-flash (reasoning),both
jacob_4.8,yes,DeepSeek-V4-flash (reasoning),both
jacobson_2.14,no,DeepSeek-V4-flash (reasoning),both
p_124,no,DeepSeek-V4-flash (reasoning),both
p_93,no,DeepSeek-V4-flash (reasoning),both
jacobson_4.6,no,DeepSeek-V4-flash (reasoning),both
jacobson_5.2,no,DeepSeek-V4-flash (reasoning),both
air_108,no,DeepSeek-V4-flash (reasoning),both
air_126,no,DeepSeek-V4-flash (reasoning),both
air_238,no,DeepSeek-V4-flash (reasoning),both
snp_64,no,DeepSeek-V4-flash (reasoning),both
dn_14.10,no,DeepSeek-V4-flash (reasoning),both
jacobson_14.1,no,DeepSeek-V4-flash (reasoning),gained
11.1,no,DeepSeek-V4-flash,both
4.3,no,DeepSeek-V4-flash,both
6.1.4,no,DeepSeek-V4-flash,both
7.4,no,DeepSeek-V4-flash,gained
air_63,no,DeepSeek-V4-flash,both
air_71,no,DeepSeek-V4-flash,both
air_72,no,DeepSeek-V4-flash,both
air_88,no,DeepSeek-V4-flash,both
air_91,no,DeepSeek-V4-flash,both
air_92,no,DeepSeek-V4-flash,both
air_98,no,DeepSeek-V4-flash,both
air_103,no,DeepSeek-V4-flash,both
air_106,no,DeepSeek-V4-flash,both
air_104,no,DeepSeek-V4-flash,both
air_123,no,DeepSeek-V4-flash,both
air_119,no,DeepSeek-V4-flash,both
air_122,no,DeepSeek-V4-flash,both
air_124,no,DeepSeek-V4-flash,both
air_130,no,DeepSeek-V4-flash,both
air_138,no,DeepSeek-V4-flash,both
air_139,no,DeepSeek-V4-flash,both
air_145,no,DeepSeek-V4-flash,both
air_146,no,DeepSeek-V4-flash,both
air_149,no,DeepSeek-V4-flash,both
air_154,no,DeepSeek-V4-flash,both
air_159,no,DeepSeek-V4-flash,both
air_167,no,DeepSeek-V4-flash,both
air_168,no,DeepSeek-V4-flash,both
air_172,no,DeepSeek-V4-flash,both
air_173,no,DeepSeek-V4-flash,both
air_178,no,DeepSeek-V4-flash,neither
air_182,no,DeepSeek-V4-flash,fragile
air_198,no,DeepSeek-V4-flash,both
air_201,no,DeepSeek-V4-flash,gained
air_203,no,DeepSeek-V4-flash,both
air_205,no,DeepSeek-V4-flash,both
air_212,no,DeepSeek-V4-flash,both
air_213,no,DeepSeek-V4-flash,both
air_214,no,DeepSeek-V4-flash,neither
air_228,no,DeepSeek-V4-flash,gained
air_235,no,DeepSeek-V4-flash,both
air_236,no,DeepSeek-V4-flash,both
air_239,no,DeepSeek-V4-flash,both
air_246,no,DeepSeek-V4-flash,neither
air_248,no,DeepSeek-V4-flash,neither
air_243,no,DeepSeek-V4-flash,both
air_251,no,DeepSeek-V4-flash,both
air_250,no,DeepSeek-V4-flash,both
air_252,no,DeepSeek-V4-flash,both
air_256,no,DeepSeek-V4-flash,both
air_273,no,DeepSeek-V4-flash,both
air_282,no,DeepSeek-V4-flash,both
air_284,no,DeepSeek-V4-flash,both
air_285,no,DeepSeek-V4-flash,both
air_289,no,DeepSeek-V4-flash,neither
air_292,no,DeepSeek-V4-flash,both
air_296,no,DeepSeek-V4-flash,both
air_300,no,DeepSeek-V4-flash,both
air_301,no,DeepSeek-V4-flash,both
air_305,no,DeepSeek-V4-flash,both
air_315,no,DeepSeek-V4-flash,both
air_314,no,DeepSeek-V4-flash,gained
air_318,no,DeepSeek-V4-flash,both
air_320,no,DeepSeek-V4-flash,both
air_321,no,DeepSeek-V4-flash,both
air_323,no,DeepSeek-V4-flash,both
air_326,no,DeepSeek-V4-flash,both
air_328,no,DeepSeek-V4-flash,both
air_335,no,DeepSeek-V4-flash,both
air_346,no,DeepSeek-V4-flash,neither
air_355,no,DeepSeek-V4-flash,both
air_368,no,DeepSeek-V4-flash,both
air_371,no,DeepSeek-V4-flash,both
air_363,no,DeepSeek-V4-flash,both
air_369,no,DeepSeek-V4-flash,neither
air_382,no,DeepSeek-V4-flash,both
air_405,no,DeepSeek-V4-flash,both
p_0,no,DeepSeek-V4-flash,both
p_10,no,DeepSeek-V4-flash,neither
p_11,no,DeepSeek-V4-flash,both
2.4,no,DeepSeek-V4-flash,both
2.3,no,DeepSeek-V4-flash,both
2.7,no,DeepSeek-V4-flash,both
2.13,no,DeepSeek-V4-flash,gained
2.15,no,DeepSeek-V4-flash,both
5.2,no,DeepSeek-V4-flash,both
5.7,no,DeepSeek-V4-flash,gained
6.1,no,DeepSeek-V4-flash,both
6.2,no,DeepSeek-V4-flash,both
p_2,no,DeepSeek-V4-flash,both
7.1,no,DeepSeek-V4-flash,both
5.10,no,DeepSeek-V4-flash,both
p_16,no,DeepSeek-V4-flash,both
p_23,no,DeepSeek-V4-flash,both
p_35,no,DeepSeek-V4-flash,both
p_38,no,DeepSeek-V4-flash,both
p_40,no,DeepSeek-V4-flash,both
p_51,no,DeepSeek-V4-flash,both
p_52,no,DeepSeek-V4-flash,both
p_54,no,DeepSeek-V4-flash,both
p_61,no,DeepSeek-V4-flash,both
p_63,no,DeepSeek-V4-flash,both
p_71,no,DeepSeek-V4-flash,both
p_72,no,DeepSeek-V4-flash,both
p_83,no,DeepSeek-V4-flash,both
p_84,no,DeepSeek-V4-flash,both
p_85,no,DeepSeek-V4-flash,both
p_95,no,DeepSeek-V4-flash,both
p_99,no,DeepSeek-V4-flash,both
p_104,no,DeepSeek-V4-flash,both
p_107,no,DeepSeek-V4-flash,both
p_109,no,DeepSeek-V4-flash,both
p_108,no,DeepSeek-V4-flash,both
p_111,no,DeepSeek-V4-flash,both
p_112,no,DeepSeek-V4-flash,both
p_123,no,DeepSeek-V4-flash,both
p_127,no,DeepSeek-V4-flash,both
3.2,no,DeepSeek-V4-flash,both
6.9,yes,DeepSeek-V4-flash,both
air_174,no,DeepSeek-V4-flash,both
turner_3,no,DeepSeek-V4-flash,fragile
turner_23,no,DeepSeek-V4-flash,gained
snp_6,no,DeepSeek-V4-flash,both
holton_44,no,DeepSeek-V4-flash,neither
snp_37,no,DeepSeek-V4-flash,gained
snp_12,no,DeepSeek-V4-flash,both
holton_22,no,DeepSeek-V4-flash,neither
holton_52,no,DeepSeek-V4-flash,both
holton_8,no,DeepSeek-V4-flash,both
holton_28,no,DeepSeek-V4-flash,both
holton_50,no,DeepSeek-V4-flash,neither
snp_45,yes,DeepSeek-V4-flash,fragile
snp_19,no,DeepSeek-V4-flash,both
holton_58,no,DeepSeek-V4-flash,both
snp_50,yes,DeepSeek-V4-flash,both
holton_34,no,DeepSeek-V4-flash,both
snp_7,no,DeepSeek-V4-flash,both
holton_5,no,DeepSeek-V4-flash,neither
snp_67,no,DeepSeek-V4-flash,both
snp_4,no,DeepSeek-V4-flash,both
jacob_2.1,no,DeepSeek-V4-flash,both
holton_38,no,DeepSeek-V4-flash,both
snp_15,no,DeepSeek-V4-flash,both
holton_27,no,DeepSeek-V4-flash,fragile
holton_60,no,DeepSeek-V4-flash,neither
holton_62,no,DeepSeek-V4-flash,neither
holton_16,no,DeepSeek-V4-flash,both
snp_72,no,DeepSeek-V4-flash,both
snp_56,no,DeepSeek-V4-flash,both
holton_30,no,DeepSeek-V4-flash,both
snp_5,no,DeepSeek-V4-flash,both
snp_99,no,DeepSeek-V4-flash,both
snp_85,no,DeepSeek-V4-flash,fragile
snp_43,no,DeepSeek-V4-flash,both
snp_68,no,DeepSeek-V4-flash,both
holton_1,no,DeepSeek-V4-flash,both
snp_49,no,DeepSeek-V4-flash,both
snp_8,no,DeepSeek-V4-flash,both
holton_11,no,DeepSeek-V4-flash,neither
holton_19,no,DeepSeek-V4-flash,both
holton_33,yes,DeepSeek-V4-flash,gained
holton_51,no,DeepSeek-V4-flash,both
jacob_13.4,no,DeepSeek-V4-flash,both
snp_22,no,DeepSeek-V4-flash,both
4.4,no,DeepSeek-V4-flash,both
2.2,no,DeepSeek-V4-flash,both
4.8,no,DeepSeek-V4-flash,both
3.11,no,DeepSeek-V4-flash,both
5.11,no,DeepSeek-V4-flash,neither
4.9,no,DeepSeek-V4-flash,both
8.7,no,DeepSeek-V4-flash,both
3.8,no,DeepSeek-V4-flash,neither
5.9,no,DeepSeek-V4-flash,both
air_116,no,DeepSeek-V4-flash,both
air_234,no,DeepSeek-V4-flash,both
jacob_12.1,no,DeepSeek-V4-flash,both
snp_94,no,DeepSeek-V4-flash,neither
snp_30,no,DeepSeek-V4-flash,both
ry_1.3,no,DeepSeek-V4-flash,both
ry_1.6,no,DeepSeek-V4-flash,both
ry_3.5,no,DeepSeek-V4-flash,both
ry_12.5,no,DeepSeek-V4-flash,both
ry_13.7,no,DeepSeek-V4-flash,neither
dn_12.1,no,DeepSeek-V4-flash,both
dn_6.27,no,DeepSeek-V4-flash,both
dn_9.27,no,DeepSeek-V4-flash,both
dn_4.15,no,DeepSeek-V4-flash,both
dn_10.44,no,DeepSeek-V4-flash,fragile
fp_2.4,no,DeepSeek-V4-flash,both
fp_2.1,no,DeepSeek-V4-flash,both
fp_12.2,no,DeepSeek-V4-flash,both
fp_12.1,no,DeepSeek-V4-flash,both
fp_2.5,no,DeepSeek-V4-flash,both
ca_3.9,no,DeepSeek-V4-flash,both
ca_10.5,no,DeepSeek-V4-flash,both
ca_15.7,no,DeepSeek-V4-flash,both
air_121,no,DeepSeek-V4-flash,both
air_226,no,DeepSeek-V4-flash,both
dn_6.31,no,DeepSeek-V4-flash,neither
dn_8.4,no,DeepSeek-V4-flash,both
jacobson_2.1,no,DeepSeek-V4-flash,both
jacobson_2.13,no,DeepSeek-V4-flash,both
jacobson_2.6,no,DeepSeek-V4-flash,both
jacobson_3.5,no,DeepSeek-V4-flash,both
jacobson_4.1,no,DeepSeek-V4-flash,both
jacobson_4.5,no,DeepSeek-V4-flash,both
jacobson_3.6(a),no,DeepSeek-V4-flash,both
jacobson_2.16,no,DeepSeek-V4-flash,neither
jacobson_2.7,no,DeepSeek-V4-flash,both
jacobson_3.6(c),no,DeepSeek-V4-flash,both
jacobson_2.17,no,DeepSeek-V4-flash,both
