trap,family,model,run,state
air212_gradient,formula_selection,gpt55-reasoning,2,pass
air212_gradient,formula_selection,gpt55-reasoning,3,pass
air212_gradient,formula_selection,gpt55,1,pass
air212_gradient,formula_selection,gpt55,2,pass
air212_gradient,formula_selection,gpt55,3,pass
air212_gradient,formula_selection,qwen3.5-9b-reasoning,1,pass
air212_gradient,formula_selection,qwen3.5-9b-reasoning,2,pass
air212_gradient,formula_selection,qwen3.5-9b-reasoning,3,pass
air212_gradient,formula_selection,qwen3.5-9b,1,fail
air212_gradient,formula_selection,qwen3.5-9b,2,pass
air212_gradient,formula_selection,qwen3.5-9b,3,fail
air212_gradient,formula_selection,qwen3.6-27b-reasoning,1,pass
air212_gradient,formula_selection,qwen3.6-27b-reasoning,2,pass
air212_gradient,formula_selection,qwen3.6-27b-reasoning,3,pass
air212_gradient,formula_selection,qwen3.6-27b,1,pass
air212_gradient,formula_selection,qwen3.6-27b,2,pass
air212_gradient,formula_selection,qwen3.6-27b,3,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash-reasoning,1,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash-reasoning,2,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash-reasoning,3,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash,1,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash,2,pass
air121_moist_adiabat,formula_selection,deepseek-v4-flash,3,pass
air121_moist_adiabat,formula_selection,gemini-3.1-pro,1,pass
air121_moist_adiabat,formula_selection,gemini-3.1-pro,2,pass
air121_moist_adiabat,formula_selection,gemini-3.1-pro,3,pass
air121_moist_adiabat,formula_selection,gpt55-reasoning,1,pass
air121_moist_adiabat,formula_selection,gpt55-reasoning,2,pass
air121_moist_adiabat,formula_selection,gpt55-reasoning,3,pass
air121_moist_adiabat,formula_selection,gpt55,1,pass
air121_moist_adiabat,formula_selection,gpt55,2,pass
air121_moist_adiabat,formula_selection,gpt55,3,pass
air121_moist_adiabat,formula_selection,qwen3.5-9b-reasoning,1,fail
air121_moist_adiabat,formula_selection,qwen3.5-9b-reasoning,2,pass
air121_moist_adiabat,formula_selection,qwen3.5-9b-reasoning,3,pass
air121_moist_adiabat,formula_selection,qwen3.5-9b,1,pass
air121_moist_adiabat,formula_selection,qwen3.5-9b,2,pass
air121_moist_adiabat,formula_selection,qwen3.5-9b,3,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b-reasoning,1,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b-reasoning,2,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b-reasoning,3,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b,1,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b,2,pass
air121_moist_adiabat,formula_selection,qwen3.6-27b,3,fail
air170_cunningham,regime_boundary,deepseek-v4-flash-reasoning,1,pass
air170_cunningham,regime_boundary,deepseek-v4-flash-reasoning,2,pass
air170_cunningham,regime_boundary,deepseek-v4-flash-reasoning,3,pass
air170_cunningham,regime_boundary,deepseek-v4-flash,1,pass
air170_cunningham,regime_boundary,deepseek-v4-flash,2,pass
air170_cunningham,regime_boundary,deepseek-v4-flash,3,pass
air170_cunningham,regime_boundary,gemini-3.1-pro,1,pass
air170_cunningham,regime_boundary,gemini-3.1-pro,2,pass
air170_cunningham,regime_boundary,gemini-3.1-pro,3,pass
air170_cunningham,regime_boundary,gpt55-reasoning,1,pass
air170_cunningham,regime_boundary,gpt55-reasoning,2,pass
air170_cunningham,regime_boundary,gpt55-reasoning,3,pass
air170_cunningham,regime_boundary,gpt55,1,pass
air170_cunningham,regime_boundary,gpt55,2,pass
air170_cunningham,regime_boundary,gpt55,3,pass
air170_cunningham,regime_boundary,qwen3.5-9b-reasoning,1,fail
air170_cunningham,regime_boundary,qwen3.5-9b-reasoning,2,pass
air170_cunningham,regime_boundary,qwen3.5-9b-reasoning,3,fail
air170_cunningham,regime_boundary,qwen3.5-9b,1,fail
air170_cunningham,regime_boundary,qwen3.5-9b,2,fail
air170_cunningham,regime_boundary,qwen3.5-9b,3,pass
air170_cunningham,regime_boundary,qwen3.6-27b-reasoning,1,fail
air170_cunningham,regime_boundary,qwen3.6-27b-reasoning,2,fail
air170_cunningham,regime_boundary,qwen3.6-27b-reasoning,3,fail
air170_cunningham,regime_boundary,qwen3.6-27b,1,fail
air170_cunningham,regime_boundary,qwen3.6-27b,2,fail
air170_cunningham,regime_boundary,qwen3.6-27b,3,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash-reasoning,1,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash-reasoning,2,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash-reasoning,3,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash,1,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash,2,pass
air132_ice_saturation,formula_selection,deepseek-v4-flash,3,fail
air132_ice_saturation,formula_selection,gemini-3.1-pro,1,pass
air132_ice_saturation,formula_selection,gemini-3.1-pro,2,pass
air132_ice_saturation,formula_selection,gemini-3.1-pro,3,pass
air132_ice_saturation,formula_selection,gpt55-reasoning,1,pass
air132_ice_saturation,formula_selection,gpt55-reasoning,2,pass
air132_ice_saturation,formula_selection,gpt55-reasoning,3,pass
air132_ice_saturation,formula_selection,gpt55,1,pass
air132_ice_saturation,formula_selection,gpt55,2,pass
air132_ice_saturation,formula_selection,gpt55,3,pass
air132_ice_saturation,formula_selection,qwen3.5-9b-reasoning,1,pass
air132_ice_saturation,formula_selection,qwen3.5-9b-reasoning,2,fail
air132_ice_saturation,formula_selection,qwen3.5-9b-reasoning,3,pass
air132_ice_saturation,formula_selection,qwen3.5-9b,1,fail
air132_ice_saturation,formula_selection,qwen3.5-9b,2,fail
air132_ice_saturation,formula_selection,qwen3.5-9b,3,fail
air132_ice_saturation,formula_selection,qwen3.6-27b-reasoning,1,pass
air132_ice_saturation,formula_selection,qwen3.6-27b-reasoning,2,pass
air132_ice_saturation,formula_selection,qwen3.6-27b-reasoning,3,pass
air132_ice_saturation,formula_selection,qwen3.6-27b,1,pass
air132_ice_saturation,formula_selection,qwen3.6-27b,2,pass
air132_ice_saturation,formula_selection,qwen3.6-27b,3,pass
air_198,definition_confusion,deepseek-v4-flash-reasoning,1,pass
air_198,definition_confusion,deepseek-v4-flash-reasoning,2,pass
air_198,definition_confusion,deepseek-v4-flash-reasoning,3,pass
air_198,definition_confusion,deepseek-v4-flash,1,pass
air_198,definition_confusion,deepseek-v4-flash,2,pass
air_198,definition_confusion,deepseek-v4-flash,3,pass
air_198,definition_confusion,gemini-3.1-pro,1,pass
air_198,definition_confusion,gemini-3.1-pro,2,pass
air_198,definition_confusion,gemini-3.1-pro,3,pass
air_198,definition_confusion,gpt55-reasoning,1,pass
air_198,definition_confusion,gpt55-reasoning,2,pass
air_198,definition_confusion,gpt55-reasoning,3,pass
air_198,definition_confusion,gpt55,1,pass
air_198,definition_confusion,gpt55,2,pass
air_198,definition_confusion,gpt55,3,pass
air_198,definition_confusion,qwen3.5-9b-reasoning,1,pass
air_198,definition_confusion,qwen3.5-9b-reasoning,2,fail
air_198,definition_confusion,qwen3.5-9b-reasoning,3,pass
air_198,definition_confusion,qwen3.5-9b,1,pass
air_198,definition_confusion,qwen3.5-9b,2,pass
air_198,definition_confusion,qwen3.5-9b,3,pass
air_198,definition_confusion,qwen3.6-27b-reasoning,1,pass
air_198,definition_confusion,qwen3.6-27b-reasoning,2,pass
air_198,definition_confusion,qwen3.6-27b-reasoning,3,pass
air_198,definition_confusion,qwen3.6-27b,1,pass
air_198,definition_confusion,qwen3.6-27b,2,pass
air_198,definition_confusion,qwen3.6-27b,3,pass
holton_10,definition_confusion,deepseek-v4-flash-reasoning,1,pass
holton_10,definition_confusion,deepseek-v4-flash-reasoning,2,pass
holton_10,definition_confusion,deepseek-v4-flash-reasoning,3,pass
holton_10,definition_confusion,deepseek-v4-flash,1,fail
holton_10,definition_confusion,deepseek-v4-flash,2,fail
holton_10,definition_confusion,deepseek-v4-flash,3,pass
holton_10,definition_confusion,gemini-3.1-pro,1,pass
holton_10,definition_confusion,gemini-3.1-pro,2,pass
holton_10,definition_confusion,gemini-3.1-pro,3,pass
holton_10,definition_confusion,gpt55-reasoning,1,pass
holton_10,definition_confusion,gpt55-reasoning,2,pass
holton_10,definition_confusion,gpt55-reasoning,3,pass
holton_10,definition_confusion,gpt55,1,pass
holton_10,definition_confusion,gpt55,2,pass
holton_10,definition_confusion,gpt55,3,pass
holton_10,definition_confusion,qwen3.5-9b-reasoning,1,pass
holton_10,definition_confusion,qwen3.5-9b-reasoning,2,pass
holton_10,definition_confusion,qwen3.5-9b-reasoning,3,pass
holton_10,definition_confusion,qwen3.5-9b,1,pass
holton_10,definition_confusion,qwen3.5-9b,2,pass
holton_10,definition_confusion,qwen3.5-9b,3,fail
holton_10,definition_confusion,qwen3.6-27b-reasoning,1,pass
holton_10,definition_confusion,qwen3.6-27b-reasoning,2,pass
holton_10,definition_confusion,qwen3.6-27b-reasoning,3,pass
holton_10,definition_confusion,qwen3.6-27b,1,pass
holton_10,definition_confusion,qwen3.6-27b,2,fail
holton_10,definition_confusion,qwen3.6-27b,3,pass
air_108,sign_direction,deepseek-v4-flash-reasoning,1,pass
air_108,sign_direction,deepseek-v4-flash-reasoning,2,pass
air_108,sign_direction,deepseek-v4-flash-reasoning,3,pass
air_108,sign_direction,deepseek-v4-flash,1,pass
air_108,sign_direction,deepseek-v4-flash,2,pass
air_108,sign_direction,deepseek-v4-flash,3,pass
air_108,sign_direction,gemini-3.1-pro,1,pass
air_108,sign_direction,gemini-3.1-pro,2,pass
air_108,sign_direction,gemini-3.1-pro,3,pass
air_108,sign_direction,gpt55-reasoning,1,pass
air_108,sign_direction,gpt55-reasoning,2,pass
air_108,sign_direction,gpt55-reasoning,3,pass
air_108,sign_direction,gpt55,1,pass
air_108,sign_direction,gpt55,2,pass
air_108,sign_direction,gpt55,3,pass
air_108,sign_direction,qwen3.5-9b-reasoning,1,pass
air_108,sign_direction,qwen3.5-9b-reasoning,2,captured
air_108,sign_direction,qwen3.5-9b-reasoning,3,captured
air_108,sign_direction,qwen3.5-9b,1,captured
air_108,sign_direction,qwen3.5-9b,2,captured
air_108,sign_direction,qwen3.5-9b,3,captured
air_108,sign_direction,qwen3.6-27b-reasoning,1,pass
air_108,sign_direction,qwen3.6-27b-reasoning,2,pass
air_108,sign_direction,qwen3.6-27b-reasoning,3,captured
air_108,sign_direction,qwen3.6-27b,1,captured
air_108,sign_direction,qwen3.6-27b,2,pass
air_108,sign_direction,qwen3.6-27b,3,captured
air_370,averaging_space,deepseek-v4-flash-reasoning,1,pass
air_370,averaging_space,deepseek-v4-flash-reasoning,2,pass
air_370,averaging_space,deepseek-v4-flash-reasoning,3,pass
air_370,averaging_space,deepseek-v4-flash,1,pass
air_370,averaging_space,deepseek-v4-flash,2,pass
air_370,averaging_space,deepseek-v4-flash,3,pass
air_370,averaging_space,gemini-3.1-pro,1,pass
air_370,averaging_space,gemini-3.1-pro,2,pass
air_370,averaging_space,gemini-3.1-pro,3,pass
air_370,averaging_space,gpt55-reasoning,1,pass
air_370,averaging_space,gpt55-reasoning,2,pass
air_370,averaging_space,gpt55-reasoning,3,pass
air_370,averaging_space,gpt55,1,pass
air_370,averaging_space,gpt55,2,pass
air_370,averaging_space,gpt55,3,pass
air_370,averaging_space,qwen3.5-9b-reasoning,1,pass
air_370,averaging_space,qwen3.5-9b-reasoning,2,pass
air_370,averaging_space,qwen3.5-9b-reasoning,3,pass
air_370,averaging_space,qwen3.5-9b,1,pass
air_370,averaging_space,qwen3.5-9b,2,pass
air_370,averaging_space,qwen3.5-9b,3,pass
air_370,averaging_space,qwen3.6-27b-reasoning,1,pass
air_370,averaging_space,qwen3.6-27b-reasoning,2,pass
air_370,averaging_space,qwen3.6-27b-reasoning,3,pass
air_370,averaging_space,qwen3.6-27b,1,pass
air_370,averaging_space,qwen3.6-27b,2,pass
air_370,averaging_space,qwen3.6-27b,3,pass
air_197,definition_confusion,deepseek-v4-flash-reasoning,1,pass
air_197,definition_confusion,deepseek-v4-flash-reasoning,2,pass
air_197,definition_confusion,deepseek-v4-flash-reasoning,3,pass
air_197,definition_confusion,deepseek-v4-flash,1,pass
air_197,definition_confusion,deepseek-v4-flash,2,pass
air_197,definition_confusion,deepseek-v4-flash,3,pass
air_197,definition_confusion,gemini-3.1-pro,1,pass
air_197,definition_confusion,gemini-3.1-pro,2,pass
air_197,definition_confusion,gemini-3.1-pro,3,pass
air_197,definition_confusion,gpt55-reasoning,1,pass
air_197,definition_confusion,gpt55-reasoning,2,pass
air_197,definition_confusion,gpt55-reasoning,3,pass
air_197,definition_confusion,gpt55,1,pass
air_197,definition_confusion,gpt55,2,pass
air_197,definition_confusion,gpt55,3,pass
air_197,definition_confusion,qwen3.5-9b-reasoning,1,pass
air_197,definition_confusion,qwen3.5-9b-reasoning,2,pass
air_197,definition_confusion,qwen3.5-9b-reasoning,3,pass
air_197,definition_confusion,qwen3.5-9b,1,pass
air_197,definition_confusion,qwen3.5-9b,2,pass
air_197,definition_confusion,qwen3.5-9b,3,captured
air_197,definition_confusion,qwen3.6-27b-reasoning,1,pass
air_197,definition_confusion,qwen3.6-27b-reasoning,2,pass
air_197,definition_confusion,qwen3.6-27b-reasoning,3,pass
air_197,definition_confusion,qwen3.6-27b,1,pass
air_197,definition_confusion,qwen3.6-27b,2,pass
air_197,definition_confusion,qwen3.6-27b,3,pass
air_64,formula_selection,deepseek-v4-flash-reasoning,1,pass
air_64,formula_selection,deepseek-v4-flash-reasoning,2,pass
air_64,formula_selection,deepseek-v4-flash-reasoning,3,pass
air_64,formula_selection,deepseek-v4-flash,1,pass
air_64,formula_selection,deepseek-v4-flash,2,pass
air_64,formula_selection,deepseek-v4-flash,3,pass
air_64,formula_selection,gemini-3.1-pro,1,pass
air_64,formula_selection,gemini-3.1-pro,2,pass
air_64,formula_selection,gemini-3.1-pro,3,pass
air_64,formula_selection,gpt55-reasoning,1,pass
air_64,formula_selection,gpt55-reasoning,2,pass
air_64,formula_selection,gpt55-reasoning,3,pass
air_64,formula_selection,gpt55,1,pass
air_64,formula_selection,gpt55,2,pass
air_64,formula_selection,gpt55,3,pass
air_64,formula_selection,qwen3.5-9b-reasoning,1,pass
air_64,formula_selection,qwen3.5-9b-reasoning,2,pass
air_64,formula_selection,qwen3.5-9b-reasoning,3,pass
air_64,formula_selection,qwen3.5-9b,1,pass
air_64,formula_selection,qwen3.5-9b,2,pass
air_64,formula_selection,qwen3.5-9b,3,pass
air_64,formula_selection,qwen3.6-27b-reasoning,1,pass
air_64,formula_selection,qwen3.6-27b-reasoning,2,pass
air_64,formula_selection,qwen3.6-27b-reasoning,3,pass
air_64,formula_selection,qwen3.6-27b,1,pass
air_64,formula_selection,qwen3.6-27b,2,pass
air_64,formula_selection,qwen3.6-27b,3,pass
air_120,formula_selection,deepseek-v4-flash-reasoning,1,pass
air_120,formula_selection,deepseek-v4-flash-reasoning,2,pass
air_120,formula_selection,deepseek-v4-flash-reasoning,3,pass
air_120,formula_selection,deepseek-v4-flash,1,pass
air_120,formula_selection,deepseek-v4-flash,2,pass
air_120,formula_selection,deepseek-v4-flash,3,pass
air_120,formula_selection,gemini-3.1-pro,1,pass
air_120,formula_selection,gemini-3.1-pro,2,pass
air_120,formula_selection,gemini-3.1-pro,3,pass
air_120,formula_selection,gpt55-reasoning,1,pass
air_120,formula_selection,gpt55-reasoning,2,pass
air_120,formula_selection,gpt55-reasoning,3,pass
air_120,formula_selection,gpt55,1,pass
air_120,formula_selection,gpt55,2,pass
air_120,formula_selection,gpt55,3,pass
air_120,formula_selection,qwen3.5-9b-reasoning,1,pass
air_120,formula_selection,qwen3.5-9b-reasoning,2,pass
air_120,formula_selection,qwen3.5-9b-reasoning,3,pass
air_120,formula_selection,qwen3.5-9b,1,pass
air_120,formula_selection,qwen3.5-9b,2,pass
air_120,formula_selection,qwen3.5-9b,3,pass
air_120,formula_selection,qwen3.6-27b-reasoning,1,pass
air_120,formula_selection,qwen3.6-27b-reasoning,2,pass
air_120,formula_selection,qwen3.6-27b-reasoning,3,pass
air_120,formula_selection,qwen3.6-27b,1,pass
air_120,formula_selection,qwen3.6-27b,2,pass
air_120,formula_selection,qwen3.6-27b,3,pass
p_35,formula_selection,deepseek-v4-flash-reasoning,1,pass
p_35,formula_selection,deepseek-v4-flash-reasoning,2,pass
p_35,formula_selection,deepseek-v4-flash-reasoning,3,pass
p_35,formula_selection,deepseek-v4-flash,1,pass
p_35,formula_selection,deepseek-v4-flash,2,fail
p_35,formula_selection,deepseek-v4-flash,3,pass
p_35,formula_selection,gemini-3.1-pro,1,pass
p_35,formula_selection,gemini-3.1-pro,2,pass
p_35,formula_selection,gemini-3.1-pro,3,pass
p_35,formula_selection,gpt55-reasoning,1,pass
p_35,formula_selection,gpt55-reasoning,2,pass
p_35,formula_selection,gpt55-reasoning,3,pass
p_35,formula_selection,gpt55,1,pass
p_35,formula_selection,gpt55,2,pass
p_35,formula_selection,gpt55,3,pass
p_35,formula_selection,qwen3.5-9b-reasoning,1,pass
p_35,formula_selection,qwen3.5-9b-reasoning,2,pass
p_35,formula_selection,qwen3.5-9b-reasoning,3,fail
p_35,formula_selection,qwen3.5-9b,1,fail
p_35,formula_selection,qwen3.5-9b,2,pass
p_35,formula_selection,qwen3.5-9b,3,fail
p_35,formula_selection,qwen3.6-27b-reasoning,1,pass
p_35,formula_selection,qwen3.6-27b-reasoning,2,pass
p_35,formula_selection,qwen3.6-27b-reasoning,3,pass
p_35,formula_selection,qwen3.6-27b,1,pass
p_35,formula_selection,qwen3.6-27b,2,pass
p_35,formula_selection,qwen3.6-27b,3,pass
air_183,definition_confusion,deepseek-v4-flash-reasoning,1,pass
air_183,definition_confusion,deepseek-v4-flash-reasoning,2,pass
air_183,definition_confusion,deepseek-v4-flash-reasoning,3,pass
air_183,definition_confusion,deepseek-v4-flash,1,pass
air_183,definition_confusion,deepseek-v4-flash,2,pass
air_183,definition_confusion,deepseek-v4-flash,3,pass
air_183,definition_confusion,gemini-3.1-pro,1,pass
air_183,definition_confusion,gemini-3.1-pro,2,pass
air_183,definition_confusion,gemini-3.1-pro,3,pass
air_183,definition_confusion,gpt55-reasoning,1,pass
air_183,definition_confusion,gpt55-reasoning,2,pass
air_183,definition_confusion,gpt55-reasoning,3,pass
air_183,definition_confusion,gpt55,1,pass
air_183,definition_confusion,gpt55,2,pass
air_183,definition_confusion,gpt55,3,pass
air_183,definition_confusion,qwen3.5-9b-reasoning,1,pass
air_183,definition_confusion,qwen3.5-9b-reasoning,2,pass
air_183,definition_confusion,qwen3.5-9b-reasoning,3,pass
air_183,definition_confusion,qwen3.5-9b,1,pass
air_183,definition_confusion,qwen3.5-9b,2,pass
air_183,definition_confusion,qwen3.5-9b,3,pass
air_183,definition_confusion,qwen3.6-27b-reasoning,1,pass
air_183,definition_confusion,qwen3.6-27b-reasoning,2,pass
air_183,definition_confusion,qwen3.6-27b-reasoning,3,pass
air_183,definition_confusion,qwen3.6-27b,1,pass
air_183,definition_confusion,qwen3.6-27b,2,pass
air_183,definition_confusion,qwen3.6-27b,3,pass
air_90,averaging_space,deepseek-v4-flash-reasoning,1,pass
air_90,averaging_space,deepseek-v4-flash-reasoning,2,pass
air_90,averaging_space,deepseek-v4-flash-reasoning,3,pass
air_90,averaging_space,deepseek-v4-flash,1,pass
air_90,averaging_space,deepseek-v4-flash,2,captured
air_90,averaging_space,deepseek-v4-flash,3,pass
air_90,averaging_space,gemini-3.1-pro,1,pass
air_90,averaging_space,gemini-3.1-pro,2,pass
air_90,averaging_space,gemini-3.1-pro,3,pass
air_90,averaging_space,gpt55-reasoning,1,pass
air_90,averaging_space,gpt55-reasoning,2,pass
air_90,averaging_space,gpt55-reasoning,3,pass
air_90,averaging_space,gpt55,1,pass
air_90,averaging_space,gpt55,2,pass
air_90,averaging_space,gpt55,3,pass
air_90,averaging_space,qwen3.5-9b-reasoning,1,pass
air_90,averaging_space,qwen3.5-9b-reasoning,2,fail
air_90,averaging_space,qwen3.5-9b-reasoning,3,fail
air_90,averaging_space,qwen3.5-9b,1,pass
air_90,averaging_space,qwen3.5-9b,2,fail
air_90,averaging_space,qwen3.5-9b,3,fail
air_90,averaging_space,qwen3.6-27b-reasoning,1,pass
air_90,averaging_space,qwen3.6-27b-reasoning,2,pass
air_90,averaging_space,qwen3.6-27b-reasoning,3,pass
air_90,averaging_space,qwen3.6-27b,1,fail
air_90,averaging_space,qwen3.6-27b,2,pass
air_90,averaging_space,qwen3.6-27b,3,fail
snp_12,averaging_space,deepseek-v4-flash-reasoning,1,pass
snp_12,averaging_space,deepseek-v4-flash-reasoning,2,pass
snp_12,averaging_space,deepseek-v4-flash-reasoning,3,pass
snp_12,averaging_space,deepseek-v4-flash,1,pass
snp_12,averaging_space,deepseek-v4-flash,2,captured
snp_12,averaging_space,deepseek-v4-flash,3,pass
snp_12,averaging_space,gemini-3.1-pro,1,pass
snp_12,averaging_space,gemini-3.1-pro,2,pass
snp_12,averaging_space,gemini-3.1-pro,3,pass
snp_12,averaging_space,gpt55-reasoning,1,pass
snp_12,averaging_space,gpt55-reasoning,2,pass
snp_12,averaging_space,gpt55-reasoning,3,pass
snp_12,averaging_space,gpt55,1,pass
snp_12,averaging_space,gpt55,2,pass
snp_12,averaging_space,gpt55,3,pass
snp_12,averaging_space,qwen3.5-9b-reasoning,1,pass
snp_12,averaging_space,qwen3.5-9b-reasoning,2,fail
snp_12,averaging_space,qwen3.5-9b-reasoning,3,pass
snp_12,averaging_space,qwen3.5-9b,1,pass
snp_12,averaging_space,qwen3.5-9b,2,pass
snp_12,averaging_space,qwen3.5-9b,3,pass
snp_12,averaging_space,qwen3.6-27b-reasoning,1,pass
snp_12,averaging_space,qwen3.6-27b-reasoning,2,pass
snp_12,averaging_space,qwen3.6-27b-reasoning,3,pass
snp_12,averaging_space,qwen3.6-27b,1,pass
snp_12,averaging_space,qwen3.6-27b,2,pass
snp_12,averaging_space,qwen3.6-27b,3,pass
air_167,sign_direction,deepseek-v4-flash-reasoning,1,pass
air_167,sign_direction,deepseek-v4-flash-reasoning,2,pass
air_167,sign_direction,deepseek-v4-flash-reasoning,3,pass
air_167,sign_direction,deepseek-v4-flash,1,pass
air_167,sign_direction,deepseek-v4-flash,2,pass
air_167,sign_direction,deepseek-v4-flash,3,pass
air_167,sign_direction,gemini-3.1-pro,1,pass
air_167,sign_direction,gemini-3.1-pro,2,pass
air_167,sign_direction,gemini-3.1-pro,3,pass
air_167,sign_direction,gpt55-reasoning,1,pass
air_167,sign_direction,gpt55-reasoning,2,pass
air_167,sign_direction,gpt55-reasoning,3,pass
air_167,sign_direction,gpt55,1,pass
air_167,sign_direction,gpt55,2,pass
air_167,sign_direction,gpt55,3,pass
air_167,sign_direction,qwen3.5-9b-reasoning,1,pass
air_167,sign_direction,qwen3.5-9b-reasoning,2,pass
air_167,sign_direction,qwen3.5-9b-reasoning,3,pass
air_167,sign_direction,qwen3.5-9b,1,pass
air_167,sign_direction,qwen3.5-9b,2,pass
air_167,sign_direction,qwen3.5-9b,3,pass
air_167,sign_direction,qwen3.6-27b-reasoning,1,pass
air_167,sign_direction,qwen3.6-27b-reasoning,2,pass
air_167,sign_direction,qwen3.6-27b-reasoning,3,pass
air_167,sign_direction,qwen3.6-27b,1,pass
air_167,sign_direction,qwen3.6-27b,2,pass
air_167,sign_direction,qwen3.6-27b,3,pass
air_68,regime_boundary,deepseek-v4-flash-reasoning,1,pass
air_68,regime_boundary,deepseek-v4-flash-reasoning,2,pass
air_68,regime_boundary,deepseek-v4-flash-reasoning,3,pass
air_68,regime_boundary,deepseek-v4-flash,1,fail
air_68,regime_boundary,deepseek-v4-flash,2,fail
air_68,regime_boundary,deepseek-v4-flash,3,fail
air_68,regime_boundary,gemini-3.1-pro,1,pass
air_68,regime_boundary,gemini-3.1-pro,2,pass
air_68,regime_boundary,gemini-3.1-pro,3,pass
air_68,regime_boundary,gpt55-reasoning,1,pass
air_68,regime_boundary,gpt55-reasoning,2,pass
air_68,regime_boundary,gpt55-reasoning,3,pass
air_68,regime_boundary,gpt55,1,pass
air_68,regime_boundary,gpt55,2,pass
air_68,regime_boundary,gpt55,3,pass
air_68,regime_boundary,qwen3.5-9b-reasoning,1,fail
air_68,regime_boundary,qwen3.5-9b-reasoning,2,pass
air_68,regime_boundary,qwen3.5-9b-reasoning,3,fail
air_68,regime_boundary,qwen3.5-9b,1,fail
air_68,regime_boundary,qwen3.5-9b,2,fail
air_68,regime_boundary,qwen3.5-9b,3,fail
air_68,regime_boundary,qwen3.6-27b-reasoning,1,pass
air_68,regime_boundary,qwen3.6-27b-reasoning,2,pass
air_68,regime_boundary,qwen3.6-27b-reasoning,3,pass
air_68,regime_boundary,qwen3.6-27b,1,pass
air_68,regime_boundary,qwen3.6-27b,2,fail
air_68,regime_boundary,qwen3.6-27b,3,fail
air_246,formula_selection,deepseek-v4-flash-reasoning,1,pass
air_246,formula_selection,deepseek-v4-flash-reasoning,2,pass
air_246,formula_selection,deepseek-v4-flash-reasoning,3,pass
air_246,formula_selection,deepseek-v4-flash,1,pass
air_246,formula_selection,deepseek-v4-flash,2,fail
air_246,formula_selection,deepseek-v4-flash,3,fail
air_246,formula_selection,gemini-3.1-pro,1,pass
air_246,formula_selection,gemini-3.1-pro,2,pass
air_246,formula_selection,gemini-3.1-pro,3,pass
air_246,formula_selection,gpt55-reasoning,1,pass
