model,setting,difficulty,log2_bin,bin_low_tokens,n_problem_runs,n_passed,accuracy_pct,single_attempt_pct
DeepSeek-V4-pro,non-reasoning,medium,8,256,495,448,90.51,99.2
DeepSeek-V4-pro,non-reasoning,medium,9,512,85,68,80.0,99.2
DeepSeek-V4-pro,non-reasoning,medium,10,1024,8,5,62.5,99.2
DeepSeek-V4-pro,non-reasoning,medium,11,2048,3,2,66.67,99.2
DeepSeek-V4-pro,non-reasoning,medium,12,4096,1,0,0.0,99.2
DeepSeek-V4-flash,non-reasoning,high,7,128,11,10,90.91,99.6
DeepSeek-V4-flash,non-reasoning,high,8,256,126,90,71.43,99.6
DeepSeek-V4-flash,non-reasoning,high,9,512,187,129,68.98,99.6
DeepSeek-V4-flash,non-reasoning,high,10,1024,68,39,57.35,99.6
DeepSeek-V4-flash,non-reasoning,high,11,2048,4,0,0.0,99.6
DeepSeek-V4-flash,non-reasoning,high,12,4096,1,0,0.0,99.6
DeepSeek-V4-flash,non-reasoning,low,6,64,7,7,100.0,99.6
DeepSeek-V4-flash,non-reasoning,low,7,128,97,96,98.97,99.6
DeepSeek-V4-flash,non-reasoning,low,8,256,26,24,92.31,99.6
DeepSeek-V4-flash,non-reasoning,low,9,512,2,0,0.0,99.6
DeepSeek-V4-flash,non-reasoning,medium,6,64,5,5,100.0,99.6
DeepSeek-V4-flash,non-reasoning,medium,7,128,181,169,93.37,99.6
DeepSeek-V4-flash,non-reasoning,medium,8,256,459,399,86.93,99.6
DeepSeek-V4-flash,non-reasoning,medium,9,512,119,97,81.51,99.6
DeepSeek-V4-flash,non-reasoning,medium,10,1024,10,1,10.0,99.6
Qwen-3.6-27B,non-reasoning,high,8,256,35,24,68.57,96.6
Qwen-3.6-27B,non-reasoning,high,9,512,120,80,66.67,96.6
Qwen-3.6-27B,non-reasoning,high,10,1024,107,64,59.81,96.6
Qwen-3.6-27B,non-reasoning,high,11,2048,63,39,61.9,96.6
Qwen-3.6-27B,non-reasoning,high,12,4096,48,19,39.58,96.6
Qwen-3.6-27B,non-reasoning,high,13,8192,3,0,0.0,96.6
Qwen-3.6-27B,non-reasoning,low,7,128,49,49,100.0,96.6
Qwen-3.6-27B,non-reasoning,low,8,256,73,73,100.0,96.6
Qwen-3.6-27B,non-reasoning,low,9,512,9,9,100.0,96.6
Qwen-3.6-27B,non-reasoning,medium,7,128,25,25,100.0,96.6
Qwen-3.6-27B,non-reasoning,medium,8,256,342,315,92.11,96.6
Qwen-3.6-27B,non-reasoning,medium,9,512,273,229,83.88,96.6
Qwen-3.6-27B,non-reasoning,medium,10,1024,74,59,79.73,96.6
Qwen-3.6-27B,non-reasoning,medium,11,2048,31,22,70.97,96.6
Qwen-3.6-27B,non-reasoning,medium,12,4096,11,3,27.27,96.6
Qwen-3.6-27B,non-reasoning,medium,13,8192,1,1,100.0,96.6
Qwen-3.5-9B (reasoning),reasoning,high,7,128,6,5,83.33,68.0
Qwen-3.5-9B (reasoning),reasoning,high,8,256,86,61,70.93,68.0
Qwen-3.5-9B (reasoning),reasoning,high,9,512,85,49,57.65,68.0
Qwen-3.5-9B (reasoning),reasoning,high,10,1024,9,1,11.11,68.0
Qwen-3.5-9B (reasoning),reasoning,high,13,8192,28,11,39.29,68.0
Qwen-3.5-9B (reasoning),reasoning,low,6,64,4,4,100.0,68.0
Qwen-3.5-9B (reasoning),reasoning,low,7,128,46,45,97.83,68.0
Qwen-3.5-9B (reasoning),reasoning,low,8,256,68,68,100.0,68.0
Qwen-3.5-9B (reasoning),reasoning,low,9,512,1,1,100.0,68.0
Qwen-3.5-9B (reasoning),reasoning,low,13,8192,4,4,100.0,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,6,64,1,0,0.0,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,7,128,84,80,95.24,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,8,256,381,340,89.24,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,9,512,55,42,76.36,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,10,1024,2,1,50.0,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,12,4096,1,1,100.0,68.0
Qwen-3.5-9B (reasoning),reasoning,medium,13,8192,29,24,82.76,68.0
Qwen-3.5-9B,non-reasoning,high,8,256,12,8,66.67,93.1
Qwen-3.5-9B,non-reasoning,high,9,512,99,56,56.57,93.1
Qwen-3.5-9B,non-reasoning,high,10,1024,97,39,40.21,93.1
Qwen-3.5-9B,non-reasoning,high,11,2048,59,19,32.2,93.1
Qwen-3.5-9B,non-reasoning,high,12,4096,45,16,35.56,93.1
Qwen-3.5-9B,non-reasoning,high,13,8192,37,10,27.03,93.1
Qwen-3.5-9B,non-reasoning,low,7,128,17,17,100.0,93.1
Qwen-3.5-9B,non-reasoning,low,8,256,85,80,94.12,93.1
Qwen-3.5-9B,non-reasoning,low,9,512,23,21,91.3,93.1
Qwen-3.5-9B,non-reasoning,low,10,1024,4,4,100.0,93.1
Qwen-3.5-9B,non-reasoning,low,11,2048,1,0,0.0,93.1
Qwen-3.5-9B,non-reasoning,medium,7,128,13,11,84.62,93.1
Qwen-3.5-9B,non-reasoning,medium,8,256,207,168,81.16,93.1
Qwen-3.5-9B,non-reasoning,medium,9,512,270,188,69.63,93.1
Qwen-3.5-9B,non-reasoning,medium,10,1024,133,87,65.41,93.1
Qwen-3.5-9B,non-reasoning,medium,11,2048,64,45,70.31,93.1
Qwen-3.5-9B,non-reasoning,medium,12,4096,35,19,54.29,93.1
Qwen-3.5-9B,non-reasoning,medium,13,8192,17,5,29.41,93.1
Qwen-2.5-72B,non-reasoning,high,7,128,13,1,7.69,96.3
Qwen-2.5-72B,non-reasoning,high,8,256,192,40,20.83,96.3
Qwen-2.5-72B,non-reasoning,high,9,512,152,19,12.5,96.3
Qwen-2.5-72B,non-reasoning,high,10,1024,11,0,0.0,96.3
Qwen-2.5-72B,non-reasoning,low,6,64,7,7,100.0,96.3
Qwen-2.5-72B,non-reasoning,low,7,128,87,70,80.46,96.3
Qwen-2.5-72B,non-reasoning,low,8,256,37,34,91.89,96.3
Qwen-2.5-72B,non-reasoning,medium,6,64,14,10,71.43,96.3
Qwen-2.5-72B,non-reasoning,medium,7,128,202,117,57.92,96.3
Qwen-2.5-72B,non-reasoning,medium,8,256,479,222,46.35,96.3
Qwen-2.5-72B,non-reasoning,medium,9,512,66,17,25.76,96.3
